City,Country,Latitude,Longitude
fuerte olimpo,py,-21,-58
lamu,ke,-5,45
san pedro pochutla,mx,10,-97
longyearbyen,sj,90,3
port-aux-francais,tf,-84,76
chibougamau,ca,55,-73
port douglas,au,-15,145
ilulissat,gl,86,-48
juan griego,ve,12,-64
adamstown,pn,-42,-145
vorgashor,ru,86,59
qaqortoq,gl,63,-41
malyye derbety,ru,48,45
whitehorse,ca,66,-134
ushuaia,ar,-63,-64
blackmans bay,au,-63,153
sinabang,id,-3,87
wajir,ke,1,41
saint john,ca,45,-67
flying fish cove,cx,-18,108
sevastopol,ua,44,32
wailua homesteads,us,32,-164
thunder bay,ca,49,-87
stanley,fk,-61,-60
avarua,ck,-43,-151
boguchany,ru,60,98
west island,cc,-21,92
saipan,mp,16,149
ola,ru,60,156
grytviken,gs,-84,-31
invercargill,nz,-62,164
halmstad,se,57,13
vingt cinq,mu,-8,55
al bawiti,eg,28,27
leca da palmeira,pt,41,-9
waitangi,nz,-85,-162
keflavik,is,64,-26
biaora,in,24,77
mhamid,ma,29,-6
daru,pg,-14,140
tromso,no,69,19
port augusta,au,-31,135
zambezi,zm,-14,23
port mathurin,mu,-27,80
vila velha,br,-24,-29
eastham,us,42,-69
ust-nera,ru,77,149
qutur,eg,31,31
ndende,ga,-2,12
sandnessjoen,no,70,9
markovo,ru,60,106
albany,au,-64,116
springs,us,41,-72
lyskovo,ru,56,45
jamestown,sh,-20,2
kruisfontein,za,-63,26
rasskazovo,ru,53,42
bethel,us,41,-177
yellowknife,ca,89,-125
greymouth,nz,-40,167
hermanus,za,-72,13
warrnambool,au,-38,143
isafjordur,is,72,-23
formosa do rio preto,br,-11,-45
port elizabeth,za,-75,29
alice springs,au,-28,129
sitka,us,57,-135
huarmey,pe,-15,-90
georgetown,sh,-6,-12
iqaluit,ca,88,-86
i-n-salah,dz,28,2
edinburgh of the seven seas,sh,-40,-9
kramfors,se,63,18
hasaki,jp,32,146
hawaiian paradise park,us,15,-138
iskateley,ru,83,55
hami,cn,39,93
altay,cn,48,89
padang,id,-3,98
st. john's,ca,46,-49
nurota,uz,41,65
belyy yar,ru,63,84
granada,ni,12,-86
talnakh,ru,89,100
argostolion,gr,38,19
somerset,us,40,-79
shingu,jp,27,137
bilibino,ru,82,166
happy valley-goose bay,ca,53,-57
hihifo,to,-16,-175
rongelap,mh,22,166
al mijlad,sd,11,27
kafin hausa,ng,12,10
coahuayana de hidalgo,mx,12,-107
thompson,ca,68,-96
puerto natales,cl,-65,-96
vega de alatorre,mx,22,-94
funafuti,tv,-9,180
codrington,ag,19,-61
lihue,us,21,-166
vilyuysk,ru,72,120
sandpoint,us,48,-116
olonkinbyen,sj,90,-8
kolarovo,sk,48,18
antsohihy,mg,-15,48
carnarvon,au,-29,103
fort st. john,ca,60,-121
kosh-agach,ru,50,88
fisterra,es,44,-14
anadyr,ru,74,175
kizhinga,ru,52,110
korla,cn,37,89
leticia,co,-4,-70
hammerfest,no,75,27
viligili,mv,1,77
mitsamiouli,km,-11,43
ribeira brava,pt,31,-18
berwick-upon-tweed,gb,56,-2
itamaraca,br,-8,-30
college,us,74,-152
cabo san lucas,mx,21,-111
derzhavinsk,kz,51,67
tiksi,ru,80,118
badger,us,89,-137
verkhnevilyuysk,ru,63,120
bredasdorp,za,-74,16
uturoa,pf,-13,-151
suwayr,sa,30,41
aykhal,ru,76,105
alofi,nu,-28,-168
al ghayzah,ye,15,52
kiunga,pg,-5,140
maintirano,mg,-18,42
nemuro,jp,39,155
hope mills,us,35,-79
mildura,au,-33,144
harstad,no,73,12
saldanha,za,-36,3
east london,za,-44,34
lisala,cd,1,21
wakkanai,jp,46,139
adria,it,45,12
brisas de zicatela,mx,9,-99
sarmiento,ar,-46,-69
puerto san carlos,mx,9,-127
vohipaho,mg,-24,48
puerto ayora,ec,0,-93
utrik,mh,32,176
labasa,fj,-15,179
murzuq,ly,24,15
khandyga,ru,67,136
eynesil,tr,42,39
sirte,ly,31,17
sidi akkacha,dz,37,1
san antonio de pale,gq,-3,2
al burayqah,ly,28,19
galle,lk,2,79
nkongsamba,cm,5,10
nova sintra,cv,12,-33
tabou,ci,-2,-5
waingapu,id,-13,119
datong,cn,40,114
long beach,us,33,-78
muravlenko,ru,64,74
governor's harbour,bs,26,-75
ba,fj,-17,178
ulsteinvik,no,66,4
fiche,et,10,39
salinas,ec,-3,-82
t'ongch'on-up,kp,39,128
tamale,gh,9,-1
siquijor,ph,9,124
sisimiut,gl,67,-57
ambodifotatra,mg,-18,53
puerto deseado,ar,-47,-64
kokpekty,kz,49,82
faro,pt,36,-8
ribeira grande,pt,49,-35
margaret river,au,-39,92
nouadhibou,mr,23,-21
fale old settlement,tk,-8,-162
yuzhno-kurilsk,ru,45,153
broome,au,-16,125
pontianak,id,0,109
namibe,ao,-13,9
lebu,cl,-35,-98
bonthe,sl,1,-19
valle de la pascua,ve,8,-66
castanheira do ribatejo,pt,39,-9
souillac,mu,-28,61
villa gesell,ar,-39,-55
hamilton,bm,27,-68
ancud,cl,-41,-102
papatowai,nz,-78,167
mahina,pf,-13,-148
jamaame,so,-1,45
susuman,ru,66,147
bichura,ru,50,108
chonchi,cl,-44,-92
duminichi,ru,54,35
revelstoke,ca,51,-117
yarmouth,ca,40,-64
klyuchi,ru,57,163
sanniquellie,lr,7,-9
petropavlovsk-kamchatsky,ru,48,169
toliara,mg,-23,42
polyarnyy,ru,88,44
culiacan,mx,25,-107
vadso,no,70,30
as suwayq,om,25,58
dudinka,ru,77,86
taiohae,pf,-4,-141
kariya,jp,35,137
nabire,id,-6,137
praia da vitoria,pt,43,-28
weno,fm,9,152
mbanza kongo,ao,-7,14
pathein,mm,15,93
ayaguz,kz,48,80
lompoc,us,25,-127
fonte boa,br,-3,-66
mont-dore,nc,-24,168
trinidad,bo,-15,-65
ruidoso,us,34,-106
hobyo,so,3,52
luderitz,na,-27,4
luwuk,id,-1,122
acarau,br,10,-39
pullambadi,in,11,79
tomatlan,mx,19,-107
flin flon,ca,58,-103
sao jose da coroa grande,br,-11,-31
kodiak,us,44,-156
igarka,ru,68,87
udachny,ru,81,104
lethem,gy,2,-57
noosa heads,au,-26,158
holice,cz,50,16
siwa oasis,eg,28,26
qarauyl,kz,48,78
kisanga,tz,-8,38
thinadhoo,mv,1,64
kavaratti,in,13,67
vila franca do campo,pt,37,-25
la sarre,ca,50,-80
mushie,cd,-3,17
sept-iles,ca,51,-66
el obeid,sd,13,30
muzayri',ae,23,55
shelekhov,ru,52,104
balqash,kz,47,75
tura,ru,68,101
blagoveshchensk,ru,51,127
callao,pe,-15,-83
rindge,us,43,-72
almeirim,br,0,-53
andergrove,au,-21,150
plouzane,fr,48,-5
enewetak,mh,17,159
new norfolk,au,-55,136
ciudad lazaro cardenas,mx,8,-108
constantia,za,-39,7
holualoa,us,5,-156
holbrook,us,35,-110
sao marcos,br,-29,-51
selfoss,is,59,-20
kasane,bw,-18,25
iquitos,pe,-3,-74
port saint john's,za,-39,37
new plymouth,nz,-38,172
lukhovitsy,ru,55,39
magadan,ru,59,151
tual,id,-8,131
brookings,us,40,-142
gamba,ga,-3,9
atafu village,tk,2,-172
meizhou,cn,24,116
corner brook,ca,51,-59
kingston,nf,-34,163
mitu,co,-1,-70
pompeia,br,-22,-50
arafat,mr,18,-16
yefremov,ru,53,38
punta del este,uy,-41,-50
sidi okba,dz,35,6
queenstown,nz,-42,168
singarayakonda,in,15,81
haiku-pauwela,us,26,-154
rockland,us,43,-68
puerto san jose,gt,12,-91
taoudenni,ml,23,-7
filadelfia,py,-22,-61
ponta delgada,pt,29,-27
san juan,pr,22,-66
vernon,ca,48,-132
ganshui,cn,29,107
oban,gb,56,-6
olean,us,42,-78
maceio,br,-11,-34
mar del plata,ar,-44,-55
petrovsk,ru,57,39
arenapolis,br,-13,-58
muisne,ec,3,-84
tolanaro,mg,-36,49
yichang,cn,31,111
kabinda,cd,-7,25
kiama,au,-35,151
arkalyk,kz,50,66
waddan,ly,29,17
antofagasta,cl,-24,-69
tazovsky,ru,83,74
casper,us,43,-106
buenavista,co,9,-76
papao,pf,-19,-150
mil'kovo,ru,56,157
kidal,ml,19,3
esikhaleni,za,-29,32
turbat,pk,26,63
port-vila,vu,-18,168
nema,mr,16,-8
pavlodar,kz,52,78
huaibei,cn,34,117
yoichi,jp,45,139
chifeng,cn,43,119
koungheul,sn,14,-15
kopychyntsi,ua,49,26
fada,td,20,25
la'ie,us,25,-157
pisco,pe,-26,-93
acapulco de juarez,mx,7,-103
santa elena de uairen,ve,6,-62
mili,mh,7,174
ust'-ilimsk,ru,60,103
masterton,nz,-46,178
aasiaat,gl,78,-64
reggane,dz,26,-3
dalandzadgad,mn,43,104
natal,br,-2,-25
portland,au,-54,133
tranovaho,mg,-26,43
afaahiti,pf,-27,-145
joshimath,in,33,80
athni,in,17,75
sassenberg,de,52,8
kalanwali,in,30,75
laguna,br,-33,-41
oranjemund,na,-31,11
tieli,cn,47,128
igrim,ru,63,64
puerto penasco,mx,31,-113
geraldton,au,-29,107
karamay,cn,45,85
el calafate,ar,-50,-78
t'aebaek,kr,37,129
nantucket,us,38,-70
kuusamo,fi,66,30
maughold,im,54,-4
ban talat bueng,th,13,101
fuling,cn,30,107
benguela,ao,-12,9
esil,kz,52,66
niteroi,br,-23,-43
mata-utu,wf,-11,-175
pacific grove,us,32,-130
aral,kz,48,62
kapuskasing,ca,60,-80
zvenigovo,ru,56,48
kroya,id,-8,109
castillos,uy,-41,-47
sabinas,mx,28,-101
yelizovo,ru,53,154
singaraja,id,-8,115
saint-pierre,pm,45,-56
arraial do cabo,br,-33,-31
kavieng,pg,2,154
debre werk',et,11,38
luanda,ao,-10,11
klaksvik,fo,64,-6
lazaro cardenas,mx,27,-119
arrifes,pt,37,-27
yeniseysk,ru,58,92
port macquarie,au,-34,158
ta`u,as,-12,-165
ghanzi,bw,-22,21
zhezqazghan,kz,47,66
road town,vg,23,-64
howrah,au,-42,156
sant lluis,es,39,5
tazacorte,es,30,-25
taulaga,as,-10,-165
bani walid,ly,30,14
saint-francois,gp,16,-60
port moresby,pg,-12,146
punta arenas,cl,-63,-77
nadi,fj,-18,177
bayan nur,cn,43,107
kralendijk,bq,12,-68
qandala,so,12,50
vorkuta,ru,85,70
sierra grande,ar,-42,-67
sinazongwe,zm,-17,28
dunedin,nz,-56,177
santo antonio,st,1,8
keelung,tw,26,122
nar'yan-mar,ru,68,50
akureyri,is,63,-18
midelt,ma,33,-4
progreso,mx,23,-90
port alfred,za,-43,30
inekar,ml,16,3
espinosa,br,-15,-43
banjar,id,-8,107
solnechnyy,ru,51,136
brokopondo,sr,3,-55
mana,gf,6,-54
noshiro,jp,41,138
kenora,ca,50,-94
paracuru,br,4,-35
cockburn town,bs,28,-73
tasbuget,kz,45,66
bhattarai danda,np,28,84
barka',om,24,58
medina,ph,9,125
aioun,mr,19,-9
eilat,il,30,34
mutoko,zw,-17,32
key west,us,25,-82
walvis bay,na,-25,6
merritt island,us,30,-78
tsuyama,jp,35,134
berezovyy,ru,55,137
richards bay,za,-34,40
tutoia,br,2,-42
bumba,cd,3,22
san-pedro,ci,5,-7
port nelson,bs,24,-75
phillip island,au,-39,145
karratha,au,-23,116
fortaleza,br,2,-35
fuglafjordur,fo,63,-7
paciran,id,-5,113
maumere,id,-7,122
lorengau,pg,0,146
barcelos,br,1,-63
svetlyy,ru,51,61
tuzha,ru,58,48
golyshmanovo,ru,56,68
vilyuchinsk,ru,43,162
manikpur,in,25,81
pak phanang,th,9,102
mount pearl,ca,33,-48
kapa'a,us,39,-155
talakan,ru,50,131
la passe,sc,-6,61
green river,us,42,-110
cavalaire-sur-mer,fr,42,7
spasskoye,ru,45,133
mukah,my,6,110
malabar,au,-38,158
rozhyshche,ua,51,25
mandalgovi,mn,47,105
faya-largeau,td,18,18
chilliwack,ca,49,-122
namtsy,ru,63,129
sao felix do xingu,br,-7,-54
lexington,us,41,-100
rio gallegos,ar,-53,-69
bhag,pk,29,68
ubari,ly,25,12
ishikawa,jp,27,127
coyhaique,cl,-47,-72
molde,no,63,7
brigantine,us,38,-73
kosciuszko national park,au,-36,148
bejaia,dz,38,5
ad douiem,sd,14,32
waterloo,sl,8,-13
hithadhoo,mv,-4,73
abilene,us,33,-100
awjilah,ly,28,23
xunchang,cn,28,105
meulaboh,id,3,94
kwali,ng,9,7
tobi village,pw,2,131
bikenibeu village,ki,4,178
belem de sao francisco,br,-9,-39
namsos,no,65,11
tobruk,ly,33,24
cargados carajos,mu,-13,64
buala,sb,-7,160
bikin,ru,47,134
sonsorol village,pw,6,131
san patricio,mx,11,-111
gueret,fr,46,2
nago,jp,28,128
bel ombre,sc,-4,54
gobabis,na,-21,19
jaicos,br,-7,-41
son la,vn,21,104
gonzaga,ph,18,122
